keyword,iri,label,confidence
Ontology and terminology,http://edamontology.org/topic_0089,Ontology and terminology,
Ontology Model,,,
knowledge graph,,,
vocabulary management,,,
ontology identifier,http://edamontology.org/data_2338,,
ontology metadata,http://edamontology.org/data_2223,,
Ontology visualisation,http://edamontology.org/operation_3559,,
ontology management,,,
