keyword,iri,label,confidence
id mapping,http://edamontology.org/operation+AF8-3282,id mapping,
accession,http://edamontology.org/data+AF8-2091,accession,
identifier,http://edamontology.org/data+AF8-0842,Identifier,
Identifier mapping,,,
Accession mapping,,,
Database cross+AC0-mapping,http://edamontology.org/data+AF8-0954,,
Cross+AC0-mapping,,,
